Event,Tokens Released,Circulating Supply,Total Supply,Percentage Circulating,Date,Component
"Jupuary 2024",1000000000,1000000000,10000000000,10,"January 31, 2024","Community"
"Launch Pool",250000000,1250000000,10000000000,12.5,"January 31, 2024","Team"
"Loans to Market Makers / CEX",50000000,1300000000,10000000000,13,"January 31, 2024","Team"
"Immediate LP Needs",17300000,1317300000,10000000000,13.17,"February 1, 2024","Team"
"ASR #1 [Came from Launchpad Fees]",50000000,1367300000,10000000000,13.67,"July 6, 2024","Community"
"ASR #2 [Came from Launchpad Fees]",50000000,1417300000,10000000000,14.17,"October 21, 2024","Community"
"Jupuary 2025",700000000,2117300000,10000000000,21.17,"January 31, 2025","Community"
"Team Cliff (for 2024)",466666666.7,2583966666.7,7000000000,36.91,"January 31, 2025","Team"
"Team and Mercurial Vesting (January 2025)",53472222.22,2637438888.92,7000000000,37.68,"February 1, 2025","Team"
"Team and Mercurial Vesting (February 2025)",53472222.22,2690911111.14,7000000000,38.44,"March 1, 2025","Team"
"DAO Funding 2024",100000000,2790911111.14,7000000000,39.87,"March 26, 2025","Community"
"Team and Mercurial Vesting (March 2025)",53472222.22,2844383333.36,7000000000,40.63,"April 1, 2025","Team"
"Team and Mercurial Vesting (April 2025)",53472222.22,2897855555.58,7000000000,41.4,"May 1, 2025","Team"
"Team and Mercurial Vesting (May 2025)",53472222.22,2951327777.8,7000000000,42.16,"June 1, 2025","Team"
"Team and Mercurial Vesting (June 2025)",53472222.22,3004800000.02,7000000000,42.93,"July 1, 2025","Team"
"Team and Mercurial Vesting (July 2025)",53472222.22,3058272222.24,7000000000,43.69,"August 1, 2025","Team"
"Team and Mercurial Vesting (August 2025)",53472222.22,3111744444.46,7000000000,44.45,"September 1, 2025","Team"
"Team and Mercurial Vesting (September 2025)",53472222.22,3165216666.68,7000000000,45.22,"October 1, 2025","Team"
"Team and Mercurial Vesting (October 2025)",53472222.22,3218688888.9,7000000000,45.98,"November 1, 2025","Team"
"Team and Mercurial Vesting (November 2025)",53472222.22,3272161111.12,7000000000,46.75,"December 1, 2025","Team"
"Team and Mercurial Vesting (December 2025)",53472222.22,3325633333.34,7000000000,47.51,"January 1, 2026","Team"
"Jupuary 2026",700000000,4025633333.34,7000000000,57.51,"January 31, 2026","Community"
"Team and Mercurial Vesting (January 2026)",53472222.22,4079105555.56,7000000000,58.27,"February 1, 2026","Team"
"Team and Mercurial Vesting (February 2026)",53472222.22,4132577777.78,7000000000,59.04,"March 1, 2026","Team"
"Team and Mercurial Vesting (March 2026)",53472222.22,4186050000,7000000000,59.8,"April 1, 2026","Team"
"Team and Mercurial Vesting (April 2026)",53472222.22,4239522222.22,7000000000,60.56,"May 1, 2026","Team"
"Team and Mercurial Vesting (May 2026)",53472222.22,4292994444.44,7000000000,61.33,"June 1, 2026","Team"
"Team and Mercurial Vesting (June 2026)",53472222.22,4346466666.66,7000000000,62.09,"July 1, 2026","Team"
"Team and Mercurial Vesting (July 2026)",53472222.22,4399938888.88,7000000000,62.86,"August 1, 2026","Team"
"Team and Mercurial Vesting (August 2026)",53472222.22,4453411111.1,7000000000,63.62,"September 1, 2026","Team"
"Team and Mercurial Vesting (September 2026)",53472222.22,4506883333.32,7000000000,64.38,"October 1, 2026","Team"
"Team and Mercurial Vesting (October 2026)",53472222.22,4560355555.54,7000000000,65.15,"November 1, 2026","Team"
"Team and Mercurial Vesting (November 2026)",53472222.22,4613827777.76,7000000000,65.91,"December 1, 2026","Team"
"Team and Mercurial Vesting (December 2026)",53472222.22,4667299999.98,7000000000,66.68,"January 1, 2027","Team"
"Team and Mercurial Vesting (January 2027)",53472222.22,4720772222.2,7000000000,67.44,"February 1, 2027","Team"
